Reporting Economy ISO3A Code,AFG,AGO,ALB,AND,ARE,ARG,ARM,ATG,AUS,AUT,AZE,BDI,BEL,BEN,BFA,BGD,BGR,BHR,BHS,BIH,BLR,BLZ,BOL,BRA,BRB,BRN,BTN,BWA,CAF,CAN,CHE,CHL,CHN,CIV,CMR,COD,COG,COL,COM,CPV,CRI,CUB,CUW,CYP,CZE,DEU,DJI,DMA,DNK,DOM,DZA,ECU,EGY,ESP,EST,ETH,FIN,FJI,FRA,GAB,GBR,GEO,GHA,GIN,GMB,GNB,GNQ,GRC,GRD,GTM,GUY,HKG,HND,HRV,HTI,HUN,IDN,IND,IRL,IRN,IRQ,ISL,ISR,ITA,JAM,JOR,JPN,KAZ,KEN,KGZ,KHM,KNA,KOR,KWT,LAO,LBN,LBR,LBY,LCA,LIE,LKA,LSO,LTU,LUX,LVA,MAC,MAR,MDA,MDG,MDV,MEX,MKD,MLI,MLT,MYR,MNE,MNG,MOZ,MRT,MUS,MWI,MYS,NAM,NER,NGA,NIC,NLD,NOR,NPL,NZL,OMN,PAK,PAN,PER,PHL,PNG,POL,PRT,PRY,QAT,ROU,RUS,RWA,SAU,SDN,SEN,SGP,SLB,SLE,SLV,SOM,SRB,SSD,STP,SUR,SVK,SVN,SWE,SWZ,SYC,SYR,TCD,TGO,THA,TJK,TKM,TLS,TON,TTO,TUN,TUR,TZA,UGA,UKR,URY,USA,UZB,VCT,VEN,VNM,VUT,WSM,YEM,ZAF,ZMB,ZWE
AGO,210583.55,0.0,23549.0,8292.18,303820278.15,43755646.45,0.0,75848.61499999999,18427279.439999998,20708749.305,1642.84,0.0,546704767.26,410479.865,374.3,1400627.95,3017102.395,767563.155,17726477.169999998,1010.815,760171.145,0.0,4877.0,526609439.665,34271.0,16616.89,95200.435,1494937.635,0.0,80253774.025,56022155.31,7977751.8149999995,1586806482.345,8026524.1,566493.96,2300753.09,16346501.145,1707621.7149999999,0.0,924095.015,170341.6,9802847.32,0.0,2116015.625,1696729.0350000001,300895660.65999997,1060915.84,124469.51,15416265.61,234690.16499999998,1496337.7349999999,479363.255,31300635.305,186283608.675,650473.3,459342.16,6028052.49,625.58,438425937.76,1127728.045,523388621.22,5810613.35,1869836.49,2843197.08,7250.0,31975.0,992760.1100000001,2815833.395,58995.0,11857.785,49495.115,32189221.815,6681.0,2492801.3150000004,16339.5,3869548.77,80907179.095,306726457.96500003,11971852.775,6002150.715,38934.17,1140226.16,17703725.695,303119980.52,3553.7599999999998,3501757.11,83579965.07499999,25040.78,3527608.115,702643.435,5079.15,17898.505,323041144.795,2699699.645,73180.315,34403724.254999995,20759301.77,1055.0,0.0,2704561.29,3729301.0700000003,0.0,105632021.375,911869.7050000001,68454590.135,92257.17,50366236.13,7.0,29990.22,0.0,75656699.54,17000.0,59834.77,4143499.405,9782.17,44756.75,0.0,4470686.985,84127198.25999999,465561.08,9115.0,169746127.8,36350486.085,17920.0,4251288.005,20991.665,230867564.51,333674542.845,0.0,2518546.58,14913049.725,11057369.73,5217782.295,1045197.0399999999,421935.61,787916.775,19008202.83,1990934822.055,11068830.489999998,6742198.970000001,1368063.395,113428603.33,3251.635,39700194.55,167979.01,20010876.69,373012078.54499996,0.0,67016.04000000001,7162.0,0.0,281966.14,0.0,197974.535,11024.199999999999,1057398.795,62076674.184999995,12758490.03,15149007.74,1631.0,61136.0,4275.53,314263462.04999995,57765563.235,0.0,0.0,11089.045,0.0,497292.68,9996325.5,240934432.79999998,504026.92,293413.84,29152819.555,2776173.56,1147801663.32,0.0,0.0,4302125.6850000005,21155354.0,3538.0,732.0,0.0,688843523.115,746614.5700000001,639600.405
ALB,397.9638664,0.0,0.0,14496.15160235,5467290.66014095,7837698.7524819,5008.08179295,44126.514771849994,929301.62247225,53163795.802895,61969.615877050004,89.2856628,27868457.7113195,1411.976555,1158.7774565999998,7088366.2321066,68797247.052275,72695.65788245,3364.21081555,28651079.8077996,272541.86981345003,4322.820258649999,37465.1169085,44438234.4578623,6251.0779695,1403.1316923,126845.468375,0.0,986.5434832,21904973.7848883,82259521.99857509,278715.8022581,402600447.29872346,287996.99956545,402544.6745294,0.0,29103.960548,5929672.4941945,1901.919681,480.5974827,433601.47671975,747261.595335,0.0,2344329.5668668,45595824.0574045,433820926.5628323,1379.0021605,12321.734371550001,15847057.263188,155814.08068945003,14137509.778697502,16790316.64972925,39584155.3294138,107578352.02875501,1796778.5559466498,121007.13746630002,12744643.373530298,311.94372545,90657274.192568,909822.81512785,39848581.1008225,43481.720069949995,111089.27677540001,13412.02892765,0.0,0.0,0.0,392971748.51265,1266.077788,656932.8680155501,66.0119396,3333055.9550433,186733.46147705,36140545.83415501,0.0,41637155.6041065,12527416.7108583,39503542.07443255,18795713.8492671,2374915.09002765,346331.76343795,113220.51593195001,7827057.877131199,1430413436.441184,4323.7719858,422470.7752271,25402178.741833203,2522738.5700380006,229241.69083724997,185357.11307710002,1235806.5027946,482.8445315,27891838.308481097,54906.67878615,10255.4256824,192800.6997793,273.4393564,13031667.00236,0.0,41875.78793615,834160.28129625,0.0,3662756.52513855,937792.68274875,1369356.3772547499,6089.4155071,2719890.59989005,540849.4076115501,21790.08556475,660.3626913,5707492.01930385,68029785.7366315,1875.9942148,85386.51046975,134682.91948815,26551255.171236552,2841.032301,685.022908,105694.4624685,82367.0842957,4790.3156739999995,10496696.6498979,5295.9655152,11808.360852,9937.660055299999,15656.195315750001,38140573.9333953,4477920.2134353,24067.02009085,364016.37887395,32313.2218509,6050643.28041595,425569.67037665,518309.4255411,696325.7296841,282.4189264,78481786.79466474,12419598.6981236,418205.12959320005,2630432.26977905,60086038.99893986,93313357.7225528,55673.3716,4779836.2845858,41032.9815451,60184.8451825,1192412.77957415,0.0,52522.301620800004,66017.3407514,0.0,177717055.0725,0.0,0.0,25116.265213799998,14200472.3630889,34892725.229134545,15767624.829928,28793.9491812,11.4441967,24316.68532595,0.0,0.0,11389439.3113763,776.1902496,0.0,0.0,26627.026666,1936.3817258,10622062.82851185,396954750.43845,69874.39371399999,365048.14152,27895287.32793655,971851.7896317999,81058799.79806224,353179.33277514996,516.7184907,1329944.1516254002,17162455.349341102,0.0,0.0,0.0,2422518.04061405,0.0,5758.8167904
ARE,788445282.0354508,1137120465.3056386,4942818.572538,1994745.9610344998,0.0,251984539.191445,41919936.21693695,2573158.6320951,2296431888.104,797430005.656115,10350390.72607305,108391470.67428115,2317832709.84309,498311110.72389436,6442166.60416025,326096451.9207659,100881777.56279999,2274771371.2530003,1918783.9329555,18872853.455509,48127443.3582176,1732759.07644785,749216720.9563427,2070929963.785283,594002.2624196,218572.51701870002,11867.5752213,1176018680.5037441,26008063.451653652,1628925110.2484999,3135370288.4724803,242872437.6962812,28865350592.913555,22494324.7361305,279716103.09493774,644090691.5139725,1558426804.504014,164349136.0589635,2102327.35221995,272697.54048245,19549426.81730795,1581120.8459533001,847916.8712918999,26310381.536736302,617443192.511361,7589906949.272251,1562975.12284015,134428.5445881,467753754.5973635,9915237.62221365,65079724.784929454,100688333.81425256,2613060280.7650003,1751296521.8281355,43777214.38421005,109605235.2574459,244422849.59213755,2467148.5366322,4799292086.66825,34465347.53090125,5475815745.059851,9521846.42538945,1341698726.6263041,4606256911.41864,1899630.4331077,2239577.52111495,5812192.64157115,193255820.784275,69127.11335995,125036693.409329,402066530.04982936,1872441909.4533925,7807693.54367935,61250127.929826304,469068.3151975,296260849.84995645,1387116166.103848,14324913605.51035,543977530.3265015,377057257.00158,883060981.502463,2723847.3723240998,42592734.5600319,5328127352.00385,1364965.2045118501,409056861.76501864,8462117073.45635,217072198.30109942,301207729.4245169,34065771.4285643,123832703.73555745,894.8999319,2974874629.6483364,1113583375.9464002,4180433.4712238,564404954.4092945,17665728.40166525,963818456.9776981,37785.741321249996,5424821.5818363,154256130.4093461,33782249.01568145,64777504.597068995,48429729.73616505,45664093.23638705,682863.0241769999,131397093.6639832,3748121.0476094,133900037.4899025,3528478.9129948,1006159632.0492,3413713.5102215,3084236514.733154,25043899.33254635,78075019.2275013,601675.5605802,170012.6572476,305342588.0079503,6948028.9682029,9275640.684581298,29617951.1543952,2006640469.915,200983160.88856727,1101342792.4949021,342110500.36129045,9515253.9916804,1266080476.2536001,290821517.3610888,2187767.2852016,497385488.79517996,1896748238.10525,785455417.70085,1502383.3181354,1105081236.232321,347912638.8046113,12811916.555645501,1027866100.095565,245987469.4344441,29479564.056126803,91920.85736145,364876259.7040605,2150764943.489582,533729125.3390222,5558791989.88216,1543658591.060151,136848071.32015586,1427739326.95044,207741.6068775,35277621.9296563,1810862.5427346998,171247281.025921,39287337.29381065,68289596.078878,121661.6027767,613570539.8676853,263498405.38631016,94265531.0186145,885745863.2542102,10117018.6228615,908971.68306895,50813646.134137005,234462633.6135363,38529758.45580675,2488772009.9164,937448.2557646001,14003855.266286101,1623.6375086500002,5317.4084411,162925.15690195,69768436.0321961,2954418136.51192,713899520.3569717,1697784129.561008,466617807.75365,20223490.3890027,14947724103.376514,219909775.64425027,1533.2389383,71575188.6634282,3731199917.434446,10627.5588836,15670.533015500001,108268361.83241266,3111867200.217173,461675154.3661705,1129731605.4741864
ARG,17508.355,5303283.804,482787.4533333333,49256.22166666667,145446169.73166665,0.0,37328.885,997.8866666666667,266809143.14333335,181879972.27166668,218132.854,3293.4020000000005,326971360.22499996,10237.599999999999,13423.383333333333,22497559.808333334,23142521.39,20392343.096666668,2452316.285,2737901.905,12648487.74,2439.092,1169186199.6716666,13038935834.743334,10281.506666666668,27666.01833333333,2602.3633333333332,95.17999999999999,432.065,407418439.89000005,504915406.79833335,670216172.3616667,11049453462.041666,5193879.488333333,3615843.7183333337,2839.984,9149416.001666667,251423709.43666664,35103.23333333333,2804.9666666666667,15785992.661666667,6631598.283333334,77456.755,787840.4566666667,157706655.27666667,2818946321.3433337,34826.644,7218.990000000001,194892762.15833333,3918204.8850000002,55248511.63666666,290864702.02833337,173490137.04,1094993619.3433332,15802976.883333335,166746.57166666666,160864550.3166667,13935.364000000001,1112463890.8983333,710027.65,513847830.12999994,1251857.8800000001,664964.345,2542426.7049999996,4167.005,10722.145,60831145.52,12384579.895000001,482574.1783333334,2255279.98,39507.9625,11324644.651666665,5589090.611666667,10479248.168333333,175671.66,247817057.6418333,311774886.56666666,902637351.8283333,236804557.40499997,2328359.7600000002,256842.43833333332,1611917.63,142903307.01166666,1352275339.2666667,2768787.846666667,1646313.5983333334,975388073.9050001,6744462.72,302326.92333333334,4541.906,18224194.62666667,111379.5,647050514.945,9464022.66,415207.3283333333,1054692.7683333333,84.735,4445881.9725,647.79,930881.62,11759656.541666666,15059.238000000001,28094867.313333333,10369941.128333334,5310381.493333333,600173.93,198198717.77999997,99729.96333333333,1246621.3733333333,1200.37,1536282057.5883331,2374031.4983333335,3902.7533333333336,1566067.0616666668,5991462.471666667,1681.243333333333,2651.6679999999997,4154803.85,647.9649999999999,411469.75,165064.90833333333,327315870.55,15713.123333333335,4826.1866666666665,195530694.40166667,477676.51499999996,491091459.29833335,68116617.28333335,139254.09833333333,18135630.528333332,91643261.22166668,45663141.68,592928.4666666667,151676836.17333332,113944619.21,40466.415,210751493.43500003,112067961.705,1792463897.0849998,298234483.06,83817908.615,385717024.76666665,3346.8933333333334,173423060.74666667,249902.5,3351742.251666667,132412143.59499998,610.05,70376.73999999999,942939.6466666666,358749.00833333336,9507969.745,12631.98,1811.5933333333332,19295.454,59137708.38333333,19955827.531666666,281387801.8516666,20123.135000000002,46352.838333333326,23505.438000000002,67.99333333333334,5910739.244,1242749857.285,3904.2549999999997,446281.50333333336,361.985,3290.9133333333334,147652398.26833335,16737080.458333334,232585897.42666665,356232.7133333334,18579.43,17823697.106666666,461347477.40500003,6440518733.546666,768222.2466666667,0.0,17638763.93166667,700964547.0666667,267.835,797.8340000000001,15079.124,178256451.49833333,82653.11666666668,470819.95333333337
ARM,43174.895,87754.29,947017.9800000001,7702.21,76922122.445,9202722.66,0.0,0.0,2908588.945,20655039.0,1200.0,799.0,48709188.66,1414.0,322.84,16142364.19,38253101.03,40098.165,2468.0,400224.755,30954608.82,0.0,5010.64,57337908.269999996,21510.754999999997,5344.4,0.0,2132851.48,1001.09,21172405.51,80108321.155,1465229.005,502838296.275,1068817.2149999999,105398.95,494.0,62598.44,728871.175,3828.825,2311.4199999999996,1595996.47,153300.84,0.0,1449908.1800000002,27629592.544999998,236658483.10500002,0.0,379.0,6344992.04,152126.815,421.27,11604926.34,7121804.275,30862125.695,13724230.135,378173.43,25326352.735,1823.47,80298824.27,824.975,32024866.955,83612775.26,758193.10500005,464.62,0.0,0.0,0.0,41400664.54000001,10467.0,54240.83499999999,636.0,6391924.444999999,146701.67,2278487.875,2060.39,13550766.25,25804460.134999998,74786319.655,10364437.875,220978243.35,2555280.895,726837.1199999999,8010667.455,155455172.815,6309.9400000000005,165788.08000000002,75387878.925,2185582.2649999997,54631.549999999996,192339.825,3924606.845,718.79,25979475.14,69664.92499999999,56808.185,1275180.42,0.0,0.0,0.0,259388.97999999998,2033859.685,2923.265,4918635.885,888497.9750000001,2621123.475,1659.23,2313022.24,1665252.92,151109.515,0.0,9159328.555,756720.3250000001,5396.5,150322.325,652757.7100000001,19042.48,0.0,385.12,1020.6700000000001,603551.4450000001,5086627.949999999,14284446.04,139334.0,1031.0700000000002,540322.2649999999,49309.395,41217366.004999995,1853786.335,46260.015,11826437.834999999,156757.08000000002,4015638.155,111693.56,914692.61,1836159.345,0.0,39881058.769999996,6818245.74,151535.975,787736.275,14713249.24,1118704902.975,7554.18,5364162.875,63897.270000000004,549.77,1324858.585,0.0,481996.56999999995,93338.81,965.0,2689850.605,0.0,0.0,224.34,6877323.175,10132492.175,20934199.57,1289.495,621.27,646502.86,0.0,698768.16,17207731.805,5135.22,27026698.97,0.0,0.0,18398.685,1426676.6,208209859.28,410075.195,68601.85,127708376.53,7375.995,126528622.625,2047569.6900000002,50.2,3495.025,34655903.695,3298.17,0.0,346.175,13295797.370000001,47125.995,12783637.29
ATG,7525.3887,0.0,69.1629,0.0,487073.02040000004,195692.19,0.0,0.0,918297.689,199009.6641,0.0,0.0,929992.1961000001,0.0,0.0,33860.8215,2112.1311,51.2925,661404.1119,0.0,0.0,102296.0904,0.0,6626463.378,4719138.819300001,0.0,0.0,0.0,0.0,6752610.1683,3464562.7136,1457225.5058000002,20331996.3097,0.0,0.0,0.0,0.0,3966101.8925,0.0,0.0,978866.1542,123080.85819999999,457726.7721,448165.674,13046.6835,2291233.094,0.0,2123243.5326,823384.6543,4567995.3162,0.0,110989.0743,50529.9197,5622828.364399999,18098.5377,0.0,989889.4804,36620.956,3854686.2153,24981.289800000002,18960249.0732,23196.7364,796.2955,0.0,0.0,0.0,0.0,82582.0545,1777705.9743,1014715.4599,3305200.0322000002,378263.14780000004,1258390.2857000001,7425.9776999999995,3719.7924,761411.2017999999,1100690.6251,3239453.7691,124375.69089999999,0.0,0.0,67.574,338536.2353,3806022.9434,5843533.381,13189.8756,22903919.150800005,0.0,5882.394,34.2592,20454.6941,828256.9796,5262925.9255,0.0,0.0,1348.1394,0.0,0.0,1201924.5018,0.0,47193.586299999995,0.0,30648.4545,376091.71680000005,0.0,0.0,15496.0474,0.0,2340.794,0.0,3666012.8167,0.0,0.0,47058.8641,843.7474,0.0,0.0,0.0,0.0,24578.1126,0.0,812849.1197,32769.2043,55403.3928,118628.4337,44492.4444,3523102.8035999998,4994.2579000000005,390.8218,609525.3089,0.0,33546.163,1894853.5364,714527.1487,88960.2442,0.0,2540957.9513,234585.8136,0.0,0.0,5029.1024,70.5629,0.0,24799.0641,0.0,0.0,43759.2083,0.0,0.0,21002.2272,0.0,0.0,0.0,0.0,485260.1516,148.9183,7052.7115,333203.1077,20330.524100000002,0.0,67411.8398,0.0,1943.161,6195411.2165,60.0999,0.0,0.0,0.0,16266898.3167,30738.3247,607890.1958,0.0,129.6295,2283.2938999999997,120870.1198,208412969.5104,0.0,4984472.7505,15908.702600000002,737593.6875,0.0,0.0,0.0,881218.4221000001,0.0,225.1961
AUS,822117.8533083,7452087.744180683,4143064.4857098,0.0,1524715202.5324376,534641838.5247628,952623.4865376666,1094409.2688244167,0.0,1253510901.47102,36213654.38745565,524774.8057562166,1547021758.6953795,13327.139647,93484.07668371666,743004130.17828,62208200.43947166,70212729.62316652,2183983.4548273836,15552960.829564849,12921720.7395295,1991334.69312315,11582324.267231217,599049766.2090917,1541996.1032909667,736697791.7291425,742190.9092682501,2939047.4828432663,57574.353487266664,1672421830.8826666,2473708797.2265034,381079465.806101,54492200836.335884,110054472.21736062,788429.78235445,198986.99358528332,184348960.1291633,75784907.60237066,40831.03048728333,86114.48061916667,97880271.41835801,7989728.475872117,0.0,24122542.554861233,560630141.533063,10284321477.512,1020408.9275267,212775.2249994,990768126.1920099,44260631.754047,335212433.44410473,18742649.986254502,35999263.35032374,1726123809.5935001,132244218.39597851,20078879.325128537,822306171.9205766,132127374.02506368,3879582698.908867,268507181.9337218,5098063621.368501,3951137.172652667,69985013.15621316,100812.35169406666,19851.069659433335,4405.84826205,25112126.540135827,208961365.34504333,63297.31626294999,17967360.219726164,251379.31460638336,639744183.5251004,43550147.17736121,27929438.26694667,1955243.5492910333,515786831.4670367,3378747499.620313,3999580378.316172,1510254564.848286,33578426.6045918,154519.4380555,9928300.2756886,585597284.4873617,4855210939.149486,963921.0360601167,34614725.6972275,14867451949.663816,7886476.801647051,25609546.073680982,286949.0253678167,182555865.6499231,137849.33296033333,9422751533.708982,17352948.475152303,83922672.12417258,14766165.305644333,87702.62652583333,253747480.54068843,37596.867405716665,0.0,191855719.532877,829111.86775645,80526982.48263228,20781270.515246667,31095431.145118833,26978569.469842,49266055.47806466,1944892.0000193333,15027364.546833834,1648901.8687304333,2167747500.9370728,7063146.991408833,102975183.5606962,15048848.845445551,35459359.959173515,414953.3924341,849202.0318449166,7927612.171531984,41699476.97856092,18438438.97145575,239231.42091935,8162378820.120023,13708365.277943501,1370174.181527,244306231.94029096,15096157.813280618,2095781865.7408211,294854035.9558354,6251638.0664398335,5424018818.073501,43259814.46754952,245749765.7098335,6863891.731966566,198777253.38764715,516388518.5951,2466917796.5025506,865125607.2132105,209612294.80662516,2651826.3227365,258397522.56748858,163633361.03502867,231757134.3960639,1022369.7921488499,386245759.9513688,201451.12723426663,70755932.04535319,6849782030.446705,8360351.77872565,4019589.7092823833,7832225.898269516,149667.93706608334,27710285.80257092,23265.107008966665,51457.32480953333,1677174.7360411,290842950.1978769,102670325.21334684,1590608161.9958684,1738143.148216583,2801970.2631447334,1078757.2409445,80621.70355176667,13273636.728904933,10499935758.948326,10431.2461632,569515.5077499667,1250840.1561865832,1654903.7218041,7252848.235389117,29116000.312003504,693593639.8214688,5605300.285882016,2408215.91718345,53930415.06082321,11330823.912845531,23417866834.97363,199584.46584375002,15463.429176816666,1076499.7253615332,4199010149.7797966,1309318.3129621334,8627591.6143098,13404543.158125518,792655908.8525867,8010474.359779767,546788.8510222001
BDI,57.2791,0.0,16520.3484,95409.946,56199493.5359,1070055.0598333331,6155.6959,0.0,474037.06539999996,80261.77046666665,3165.7113,0.0,28367161.7254,50600.41393333333,24738.7918,427110.26769999997,691973.5661666667,252423.9942,12679.674,17907.568,571873.8657,834.8457,0.0,503907.0047666666,15359.7339,0.0,0.0,0.0,3499868.78135,2355139.6599,2534924.0086999997,18791.819,104861388.32373333,205478.01056666663,58119.02839999999,2890278.6341333333,178723.23260000002,9529.279199999999,2379.4614,598.49305,0.0,7.1793,3745.6155,8369.4301,87267.77529999998,13195476.247366667,8076.945166666667,0.0,14029452.725066667,0.0,0.0,19383.9233667,8518178.842233332,830322.0258666667,60179.16395,60160.36123333334,659217.9265000001,0.0,27564893.963666666,245379.3421,9449730.782399999,6608.722466666667,72861.91016666667,17012.8384,20941.9764,0.0,4568.1924500000005,310655.79296666663,54532.4797,0.0,0.0,5661784.529,49.8785,11455.50685,4309.1798,184206.9441,2469972.7981666666,84654109.9888,808294.0691000001,155964.61266666665,0.0,34518.752,104803.07136666666,6314022.411566666,3567.7197,169205.57333333333,26089836.124933332,0.0,43337069.59463333,0.0,57977.6177,1249.1534666999999,3087676.1968333335,3839.4509,2182.7456,88306.8603333,26490.56125,0.0,0.0,377.3161,12502.657949999999,0.0,11889.43745,6266.1456333333335,0.0,0.0,499792.79520000005,0.0,10221.0962,0.0,367032.4738333333,0.0,200277.40783333336,0.0,0.0,0.0,0.0,4012988.4361666664,26654.4631,260452.19176666668,5915.509633333334,2738715.7394,23858.4898,949.33715,47739.94896666667,145026.43225,10038934.272833334,146566.84483333334,35881.6172,6570.562766666667,511499.7348666,3916843.251533333,4214.2751499999995,0.0,156031.87613333334,168.4157,652942.4922666667,949236.0432000001,0.0,588288.7703,53924.786400000005,13303617.211133331,8338163.8899,76038671.59703332,23195.2739,190060.28693333335,2070857.4821333336,0.0,2293.9745,0.0,0.0,508.0281,0.0,0.0,93025.1677,0.0,314406.4229,1309454.4694666667,316869.7447,725363.71035,0.0,6353.1834,418.987,1836647.4234,2313.3379,0.0,0.0,0.0,865.99965,781772.7803999999,5873521.321133333,53543632.55353334,42795920.97203333,254508.4339666667,0.0,12769828.7666,58163.9642,3142.19625,0.0,3216618.5282666665,0.0,0.0,0.0,8691824.179766668,23872486.6728,75306.66116666667
BEN,1600.523183,14340027.4639602,92236.49289519999,7585.572525799999,118519886.6318345,16326402.453785067,0.0,5410.369181,1932086.3653077998,3263300.4339458332,29452.25537,11955.42331425,123338792.30854489,0.0,3501300.4131418006,155366.7406272,217697.6020234667,7071.113774066667,0.0,21725.331754500003,595828.7462249999,14025.269441949999,0.0,58730841.352921665,2066.625422,21101.622049650003,0.0,5154.511763500001,0.0,5399259.856803,16342391.7375713,587722.6004245001,285516910.84671646,57632543.54501757,3359115.2274610004,2636260.3471479327,2630536.2955493666,237404.0156823,0.0,314534.8437,4266.569721,51392.0073825,0.0,244148.90211339996,97071.77842346666,36664239.8813207,9883.7803318,0.0,21766775.248535633,0.0,1639485.4282820001,122847.95806799999,5368980.3517377665,46713809.701702036,10172697.323336,36906.16481143333,2318123.7629503664,0.0,242607100.38128033,741995.9956104667,26455265.6315912,10157.675133333334,31216517.10481037,1463698.9842772668,34726.80388573334,12583.22629,673423.0316656,3316504.0694982335,518.089501,726522.3820755,9066.982173,16128327.343323201,54001.60018666667,69165.600949,6022.92704,708774.5310966667,53235158.09958234,459010913.38834494,1913395.4814093334,359062.3713343334,0.0,321258.17452206666,5765938.117124267,28379418.41666947,0.0,135849.98729843335,6758772.807431034,0.0,72444.39050953333,0.0,53473.852932049995,86.5260339,28731420.711508334,149971.9621651,11776.485147666666,7207645.7133408,1285198.9806480666,17962.933837333334,0.0,55487.54461710001,82949.8327054,0.0,3207626.7826090003,153841.3080481,1950880.4664999999,29071.0022245,74406667.58526227,33966.36721346666,4443.3574385,0.0,597333.9300013,0.0,1469157.5544121333,1065313.6202645,561067.2124303334,0.0,0.0,0.0,45686576.81116047,1094680.9147657,0.0,84266148.50081913,754209.4382199999,1468291.6083208332,69696191.10260087,1536.357624,134931391.41111195,15899422.3872298,0.0,385345.2852190333,4247578.8506298,34827558.99086874,674409.5000573334,128796.66470333333,10822.222842733332,0.0,12914580.820245668,5201519.1671439335,43071.409121666664,59683.66007360001,255741.17915830002,68539113.31857373,10170.707287033334,5532046.8372328,60083.919189566666,10321754.688657934,25241391.836276036,0.0,1365410.4553863334,0.0,411.0087417,62446.96721,0.0,0.0,5966.57562925,689779.8349470667,54160.030098333336,8302279.005844533,216846.1329075,19399.375022000004,0.0,1885.1266469666664,267323538.46459103,313511412.72297615,0.0,1266144.565,7602.784902,0.0,464676.8789,6805473.594170533,70593374.5060078,31886.407053333332,18471.00921525,13940448.609875968,633940.4097933333,82880498.1560121,0.0,0.0,819851.17765,4321582.804829467,0.0,0.0,0.0,21985689.7502173,7848.6830733,3561.858192
BFA,9424.98055646,2868657.40749784,46358.72723964,13835.469789733334,19870183.62119416,3940820.2818028005,0.0,891.9695266,43955380.119976774,2114687.0851977402,20477.684461966666,8978.728786,66849631.883323446,8167847.043261739,0.0,451920.4920985199,332475.27661792,48714.548348000004,16400.14511,46124.456132600004,3564358.0516166002,0.0,5756.403607266667,20615814.20683412,109.6106629,16004.219099866668,213.3130393,0.0,4644.1282144,29512335.42641144,16456095.045342341,2859573.6246842397,484867408.84074765,384512384.56251365,1444003.8309950002,900301.9428481199,2780145.72122852,3790489.6990684606,0.0,23716.29820728,656376.49547872,723608.2386884501,0.0,23766.09162708,8298238.50740764,120866560.75437745,29095.242867999998,0.0,15931358.29226932,27974.317674160004,5049744.5259032,22068.5193808,15503429.69567562,79520871.58968739,7478556.79362728,267248.39365456003,14559449.31246362,2555.727712,297079578.43479985,217116.80555885998,48442045.511566,15487.983658219999,221913720.19938597,234560.73494636003,20639.77214,7081.0692664,3511448.37454714,3668318.8000751003,0.0,9008512.82478242,0.0,1212602.16448548,808341.671878725,532542.53312104,20739.73372515,4989870.09845552,17987234.848660298,184037166.2077626,9672100.50772932,2040898.66792916,3172.203331166666,11230.86942496,5703297.69315592,70048568.18849738,17462.73440848,197175.28603816,98459166.9078656,7898.9293184,193761.9495276,690.7960424,183045.13954942,0.0,87973619.27796791,1224908.4974256002,20665.89464182,6915939.74465262,772692.6422413333,1023269.7229687998,0.0,36451.88310944,685092.57627926,75433.36812494,8117552.678810319,3722956.8575968198,9083747.955060199,21830.27367,55087286.128318205,26337.028344175,43036.50113882,0.0,8068326.743256221,22086.24448768,46138058.39434888,683107.1447541399,13451158.903612161,0.0,55303.45205,7173.326464200001,1016744.37375616,767600.5568844801,0.0,15324154.8316903,49231.633745620005,39305319.09789574,11482530.96556486,1632094.2875158999,153710907.47715455,21628809.352662064,0.0,2397021.6896546,80521.53721355001,2699200.96303338,121777.54278238001,144427.7667509,1303101.56798048,2076.921391,6643424.97072642,13303892.8162995,0.0,426500.52001824,2894342.44328624,204156985.30571562,19826.868179666664,11709793.8168635,35046.554331925,33073170.64271102,8364591.503647821,0.0,56432.56332544999,6372.681029166666,0.0,1362712.32834876,0.0,3175.1713440000003,16475.644277525,2040253.0748092397,272335.01809166,33519670.72159166,620046.35251064,39261.3011791,4946.80050785,19461.090523140003,115339155.55479789,55424516.938523516,29370.20243,558.9399281,0.0,14057.06521,1783506.99066,16745899.08834754,57617557.268816784,341159.3079496,1399.2703003000001,14499745.548117662,52089.79505,228249510.09324965,10661.66875,1270.2771215,3591530.0407644203,20436061.175460942,0.0,0.0,5275.731297,64520301.85716186,18134.094276674998,14661.04336
