,LGBT,environmental,equality,migration,IPalignment
ROU,1,1.0,0.0,0.0,-1.0
RUS,1,1.0,1.0,0.0,-1.0
RWA,1,0.0,1.0,0.0,-1.0
SAU,0,1.0,1.0,0.0,-1.0
SDN,0,0.0,1.0,0.0,-1.0
SEN,0,0.0,1.0,0.0,-1.0
SGP,1,1.0,0.0,0.0,-1.0
SLB,0,1.0,1.0,0.0,-1.0
SLE,0,0.0,1.0,0.0,-1.0
SLV,1,0.0,0.0,0.0,-1.0
SOM,0,-1.0,1.0,0.0,-1.0
SRB,1,1.0,0.0,1.0,-1.0
STP,1,1.0,0.0,0.0,-1.0
SUR,1,0.0,0.0,0.0,-1.0
SVK,1,1.0,0.0,0.0,-1.0
SVN,1,1.0,0.0,0.0,-1.0
SWE,1,1.0,0.0,1.0,-1.0
SWZ,0,1.0,1.0,0.0,-1.0
SYC,1,0.0,0.0,0.0,-1.0
SYR,1,-1.0,1.0,0.0,-1.0
TCD,0,0.0,1.0,0.0,-1.0
TGO,0,0.0,1.0,0.0,-1.0
THA,1,1.0,0.0,0.0,-1.0
TJK,1,0.0,1.0,0.0,-1.0
TKM,0,0.0,1.0,0.0,-1.0
TLS,1,0.0,1.0,0.0,-1.0
TON,0,0.0,1.0,0.0,-1.0
TTO,1,1.0,1.0,0.0,-1.0
TUN,0,1.0,1.0,0.0,-1.0
TUR,1,0.0,1.0,0.0,-1.0
TUV,0,-1.0,1.0,0.0,-1.0
TZA,0,0.0,1.0,0.0,-1.0
UGA,0,0.0,1.0,0.0,-1.0
UKR,1,1.0,0.0,0.0,-1.0
URY,1,1.0,0.0,0.0,-1.0
USA,1,1.0,0.0,1.0,-1.0
UZB,0,1.0,1.0,0.0,-1.0
VCT,0,0.0,1.0,0.0,-1.0
VEN,1,1.0,0.0,0.0,-1.0
VNM,1,0.0,0.0,0.0,-1.0
VUT,1,0.0,0.0,0.0,-1.0
WSM,0,0.0,1.0,0.0,-1.0
YEM,0,-1.0,1.0,0.0,-1.0
ZAF,1,1.0,0.0,0.0,-1.0
ZMB,0,0.0,1.0,0.0,-1.0
ZWE,0,0.0,1.0,0.0,-1.0
