rho	NashEq	LabInv	LabSym	thetaThr	network	relax	status	objval	sumEta	time	nnodes	tolopt	nvars	nconstraints
0.500000	1	0	0	1.000000	phidata_network80.txt	1	101	0.273059	0	0.452000	0	0.000000	3864	5849	
1.000000	1	0	0	1.000000	phidata_network80.txt	1	101	0.239429	0	0.584000	0	0.000000	3864	5849	
0.100000	1	0	0	1.000000	phidata_network90.txt	1	101	0.408709	0	0.269000	0	0.000000	3864	5849	
0.500000	1	0	0	1.000000	phidata_network90.txt	1	101	0.273059	0	0.468000	0	0.000000	3864	5849	
1.000000	1	0	0	1.000000	phidata_network90.txt	1	101	0.239429	0	0.531000	0	0.000000	3864	5849	
0.100000	0	0	0	0.900000	phidata_network80.txt	1	101	0.408710	0	0.230000	0	0.000000	2944	3680	
0.500000	0	0	0	0.900000	phidata_network80.txt	1	101	0.273059	0	0.282000	0	0.000000	2944	3680	
1.000000	0	0	0	0.900000	phidata_network80.txt	1	101	0.239430	0	0.279000	0	0.000000	2944	3680	
0.100000	0	0	0	0.900000	phidata_network90.txt	1	101	0.408710	0	0.222000	0	0.000000	2944	3680	
0.500000	0	0	0	0.900000	phidata_network90.txt	1	101	0.273059	0	0.282000	0	0.000000	2944	3680	
1.000000	0	0	0	0.900000	phidata_network90.txt	1	101	0.239430	0	0.321000	0	0.000000	2944	3680	
0.100000	1	0	0	0.900000	phidata_network80.txt	1	101	0.408709	0	0.239000	0	0.000000	3864	5849	
0.500000	1	0	0	0.900000	phidata_network80.txt	1	101	0.273059	0	0.604000	0	0.000000	3864	5849	
1.000000	1	0	0	0.900000	phidata_network80.txt	1	101	0.239429	0	0.591000	0	0.000000	3864	5849	
0.100000	1	0	0	0.900000	phidata_network90.txt	1	101	0.408709	0	0.241000	0	0.000000	3864	5849	
0.500000	1	0	0	0.900000	phidata_network90.txt	1	101	0.273059	0	0.586000	0	0.000000	3864	5849	
1.000000	1	0	0	0.900000	phidata_network90.txt	1	101	0.239429	0	0.585000	0	0.000000	3864	5849	
0.100000	0	0	0	0.800000	phidata_network80.txt	1	101	0.410652	0	0.243000	0	0.000000	2944	3680	
0.500000	0	0	0	0.800000	phidata_network80.txt	1	101	0.274807	0	0.234000	0	0.000000	2944	3680	
1.000000	0	0	0	0.800000	phidata_network80.txt	1	101	0.242744	0	0.684000	0	0.000000	2944	3680	
0.100000	0	0	0	0.800000	phidata_network90.txt	1	101	0.410652	0	0.215000	0	0.000000	2944	3680	
0.500000	0	0	0	0.800000	phidata_network90.txt	1	101	0.274807	0	0.252000	0	0.000000	2944	3680	
1.000000	0	0	0	0.800000	phidata_network90.txt	1	101	0.242744	0	0.686000	0	0.000000	2944	3680	
0.100000	1	0	0	0.800000	phidata_network80.txt	1	101	0.410651	0	0.439000	0	0.000000	3864	5849	
0.500000	1	0	0	0.800000	phidata_network80.txt	1	101	0.274807	0	0.570000	0	0.000000	3864	5849	
1.000000	1	0	0	0.800000	phidata_network80.txt	1	101	0.242744	0	0.567000	0	0.000000	3864	5849	
0.100000	1	0	0	0.800000	phidata_network90.txt	1	101	0.410651	0	0.448000	0	0.000000	3864	5849	
0.500000	1	0	0	0.800000	phidata_network90.txt	1	101	0.274807	0	0.586000	0	0.000000	3864	5849	
1.000000	1	0	0	0.800000	phidata_network90.txt	1	101	0.242744	0	0.568000	0	0.000000	3864	5849	
0.100000	0	0	0	0.700000	phidata_network80.txt	1	101	0.423422	0	0.185000	0	0.000000	2944	3680	
0.500000	0	0	0	0.700000	phidata_network80.txt	1	101	0.297895	0	0.260000	0	0.000000	2944	3680	
1.000000	0	0	0	0.700000	phidata_network80.txt	1	101	0.284196	0	0.278000	0	0.000000	2944	3680	
0.100000	0	0	0	0.700000	phidata_network90.txt	1	101	0.423422	0	0.189000	0	0.000000	2944	3680	
0.500000	0	0	0	0.700000	phidata_network90.txt	1	101	0.297895	0	0.248000	0	0.000000	2944	3680	
1.000000	0	0	0	0.700000	phidata_network90.txt	1	101	0.284196	0	0.280000	0	0.000000	2944	3680	
0.100000	1	0	0	0.700000	phidata_network80.txt	1	101	0.423424	0	0.366000	0	0.000000	3864	5849	
0.500000	1	0	0	0.700000	phidata_network80.txt	1	101	0.297894	0	0.554000	0	0.000000	3864	5849	
1.000000	1	0	0	0.700000	phidata_network80.txt	1	101	0.284195	0	0.493000	0	0.000000	3864	5849	
0.100000	1	0	0	0.700000	phidata_network90.txt	1	101	0.423424	0	0.372000	0	0.000000	3864	5849	
0.500000	1	0	0	0.700000	phidata_network90.txt	1	101	0.297894	0	0.540000	0	0.000000	3864	5849	
1.000000	1	0	0	0.700000	phidata_network90.txt	1	101	0.284195	0	0.507000	0	0.000000	3864	5849	
