,rho,NashEq,LabInv,LabSym,thetaThr,network,relax,status,objval,sumEta,time,nnodes,tolopt,nvars,nconstraints
59,1.0,1,0,0,1.0,phidata_network90.txt,1,101,0.239429,0,0.493,0,0.0,3864,5849
60,0.1,0,0,0,0.9,phidata_network80.txt,1,101,0.127962,0,0.985,0,0.0,2944,3680
61,0.5,0,0,0,0.9,phidata_network80.txt,1,101,0.079876,0,1.017,0,0.0,2944,3680
62,1.0,0,0,0,0.9,phidata_network80.txt,1,101,0.027525,0,1.02,0,0.0,2944,3680
63,0.1,0,0,0,0.9,phidata_network90.txt,1,101,0.40871,0,0.197,0,0.0,2944,3680
64,0.5,0,0,0,0.9,phidata_network90.txt,1,101,0.273059,0,0.256,0,0.0,2944,3680
65,1.0,0,0,0,0.9,phidata_network90.txt,1,101,0.23943,0,0.256,0,0.0,2944,3680
66,0.1,1,0,0,0.9,phidata_network80.txt,1,101,0.127963,0,0.504,0,0.0,3864,5849
67,0.5,1,0,0,0.9,phidata_network80.txt,1,101,0.079875,0,0.94,0,0.0,3864,5849
68,1.0,1,0,0,0.9,phidata_network80.txt,1,101,0.027526,0,1.153,0,0.0,3864,5849
69,0.1,1,0,0,0.9,phidata_network90.txt,1,101,0.408709,0,0.201,0,0.0,3864,5849
70,0.5,1,0,0,0.9,phidata_network90.txt,1,101,0.273059,0,0.565,0,0.0,3864,5849
71,1.0,1,0,0,0.9,phidata_network90.txt,1,101,0.239429,0,0.529,0,0.0,3864,5849
72,0.1,0,0,0,0.8,phidata_network80.txt,1,101,0.127975,0,0.518,0,0.0,2944,3680
73,0.5,0,0,0,0.8,phidata_network80.txt,1,101,0.079878,0,1.214,0,0.0,2944,3680
74,1.0,0,0,0,0.8,phidata_network80.txt,1,101,0.027524,0,1.305,0,0.0,2944,3680
75,0.1,0,0,0,0.8,phidata_network90.txt,1,101,0.410652,0,0.195,0,0.0,2944,3680
76,0.5,0,0,0,0.8,phidata_network90.txt,1,101,0.274807,0,0.22,0,0.0,2944,3680
77,1.0,0,0,0,0.8,phidata_network90.txt,1,101,0.242744,0,0.64,0,0.0,2944,3680
78,0.1,1,0,0,0.8,phidata_network80.txt,1,101,0.127975,0,0.75,0,0.0,3864,5849
79,0.5,1,0,0,0.8,phidata_network80.txt,1,101,0.079875,0,0.894,0,0.0,3864,5849
80,1.0,1,0,0,0.8,phidata_network80.txt,1,101,0.027524,0,1.116,0,0.0,3864,5849
81,0.1,1,0,0,0.8,phidata_network90.txt,1,101,0.410651,0,0.413,0,0.0,3864,5849
82,0.5,1,0,0,0.8,phidata_network90.txt,1,101,0.274807,0,0.551,0,0.0,3864,5849
83,1.0,1,0,0,0.8,phidata_network90.txt,1,101,0.242744,0,0.53,0,0.0,3864,5849
84,0.1,0,0,0,0.7,phidata_network80.txt,1,101,0.128003,0,0.381,0,0.0,2944,3680
85,0.5,0,0,0,0.7,phidata_network80.txt,1,101,0.079876,0,1.112,0,0.0,2944,3680
86,1.0,0,0,0,0.7,phidata_network80.txt,1,101,0.027523,0,1.621,0,0.0,2944,3680
87,0.1,0,0,0,0.7,phidata_network90.txt,1,101,0.423422,0,0.157,0,0.0,2944,3680
88,0.5,0,0,0,0.7,phidata_network90.txt,1,101,0.297895,0,0.217,0,0.0,2944,3680
89,1.0,0,0,0,0.7,phidata_network90.txt,1,101,0.284196,0,0.256,0,0.0,2944,3680
90,0.1,1,0,0,0.7,phidata_network80.txt,1,101,0.128001,0,0.812,0,0.0,3864,5849
91,0.5,1,0,0,0.7,phidata_network80.txt,1,101,0.079876,0,0.874,0,0.0,3864,5849
92,1.0,1,0,0,0.7,phidata_network80.txt,1,101,0.027524,0,1.084,0,0.0,3864,5849
93,0.1,1,0,0,0.7,phidata_network90.txt,1,101,0.423424,0,0.345,0,0.0,3864,5849
94,0.5,1,0,0,0.7,phidata_network90.txt,1,101,0.297894,0,0.523,0,0.0,3864,5849
95,1.0,1,0,0,0.7,phidata_network90.txt,1,101,0.284195,0,0.476,0,0.0,3864,5849
